2025-03-04 21:49:36,911 - ufc_model - WARNING - NaN loss detected in batch 248, skipping
2025-03-04 21:49:36,912 - ufc_model - WARNING - NaN loss detected in batch 249, skipping
2025-03-04 21:49:36,912 - ufc_model - WARNING - NaN loss detected in batch 250, skipping
2025-03-04 21:49:36,913 - ufc_model - WARNING - NaN loss detected in batch 251, skipping
2025-03-04 21:49:36,913 - ufc_model - WARNING - NaN loss detected in batch 252, skipping
2025-03-04 21:49:36,914 - ufc_model - WARNING - NaN loss detected in batch 253, skipping
2025-03-04 21:49:36,915 - ufc_model - WARNING - NaN loss detected in batch 254, skipping
2025-03-04 21:49:36,915 - ufc_model - WARNING - NaN loss detected in batch 255, skipping
2025-03-04 21:49:36,916 - ufc_model - WARNING - NaN loss detected in batch 256, skipping
2025-03-04 21:49:36,917 - ufc_model - WARNING - NaN loss detected in batch 257, skipping
2025-03-04 21:49:36,917 - ufc_model - WARNING - NaN loss detected in batch 258, skipping
2025-03-04 21:49:36,918 - ufc_model - WARNING - NaN loss detected in batch 259, skipping
2025-03-04 21:49:36,918 - ufc_model - WARNING - NaN loss detected in batch 260, skipping
2025-03-04 21:49:36,919 - ufc_model - WARNING - NaN loss detected in batch 261, skipping
2025-03-04 21:49:36,919 - ufc_model - WARNING - NaN loss detected in batch 262, skipping
2025-03-04 21:49:36,920 - ufc_model - WARNING - NaN loss detected in batch 263, skipping
2025-03-04 21:49:36,920 - ufc_model - WARNING - NaN loss detected in batch 264, skipping
2025-03-04 21:49:36,921 - ufc_model - WARNING - NaN loss detected in batch 265, skipping
2025-03-04 21:49:36,921 - ufc_model - WARNING - NaN loss detected in batch 266, skipping
2025-03-04 21:49:36,922 - ufc_model - WARNING - NaN loss detected in batch 267, skipping
2025-03-04 21:49:36,922 - ufc_model - WARNING - NaN loss detected in batch 268, skipping
2025-03-04 21:49:36,923 - ufc_model - WARNING - NaN loss detected in batch 269, skipping
